cation	cation_smiles	logP	Atom count	Molecular weight	molecular	Aliphatic atom count	Aromatic atom count	Polar surface area	donorcount	acceptorcount	Refractivity	Bond count	Fused ring count	Chain atom count	Balaban index	Rotatable bond count	Smallest ring size	Ring count
IM-6,1	CCCCCC[N+]1=CN(C)C=C1	-1.26	31	167.275	21.31	7	5	8.81	0	0	51.93	31	0	7	1.93	5	5	1
IM-6,1,1	CCCCCC[N+]1=C(C)N(C)C=C1	-1.62	34	181.302	23.26	8	5	8.81	0	0	67.13	34	0	8	1.92	5	5	1
IM-10,10,1	CCCCCCCCCCN1C=C[N+](CCCCCCCCCC)=C1C	4.15	73	363.653	50.59	21	5	8.81	0	0	127.02	73	0	21	1.93	18	5	1
[AVIM]	C=CCN1C=C[N+](C=C)=C1	-2.23	21	135.189	15.47	5	5	8.81	0	0	41.71	21	0	5	2.15	3	5	1
[Mo1,3CN]	C[N+]1(CCCC#N)CCOCC1	-4.13	29	169.247	19.25	12	0	33.02	0	2	59.49	29	0	6	2.17	3	6	1
[PMIM]	CCCN1C=C[N+](C)=C1	-2.59	22	125.194	15.1	4	5	8.81	0	0	38.13	22	0	4	1.9	2	5	1
[OMMIM]	CCCCCCCCN1C=C[N+](C)=C1C	-0.73	40	209.356	27.48	10	5	8.81	0	0	76.34	40	0	10	1.83	7	5	1
[MeOCH2CH2NEt3]	CC[N+](CC)(CC)CCOC	-2.95	33	160.28	20.38	11	0	9.23	0	1	61.19	32	0	11	3.84	6	0	0
[MeOCH2CH2PEt3]	CC[P+](CC)(CC)CCOC	1.14	33	177.247	21.04	11	0	9.23	0	1	53.04	32	0	11	3.84	6	0	0
[AMIM]	CN1C=C[N+](CC=C)=C1	-2.74	20	123.178	14.12	4	5	8.81	0	0	38.02	20	0	4	1.9	2	5	1
